STATION,STATION_NAME,DATE,PRCP,SNOW,TSUN,TMAX,TMIN,AWND
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140604,0.22,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140605,0.09,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140606,0.41,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140607,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140608,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140609,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140610,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140611,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140612,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140613,0.06,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140614,0.61,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140615,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140616,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140617,0.07,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140618,0.12,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140619,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140620,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140621,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140622,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140623,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140624,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140701,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140702,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140703,0.05,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140704,0.77,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140705,1.21,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140706,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140712,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140713,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140714,0.18,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140715,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140716,1.28,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140717,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140718,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140719,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140720,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140721,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140722,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140723,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140724,0.08,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140725,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140726,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140727,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140728,0.75,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140729,0.30,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140730,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140731,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140801,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140802,0.09,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140803,0.05,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140804,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140805,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140806,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140807,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140808,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140809,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140810,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140811,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140812,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140813,0.48,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140814,1.39,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140815,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140816,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140817,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140818,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140819,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140820,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140821,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140822,0.12,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140823,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140824,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140825,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140826,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140827,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140828,0.35,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140829,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140830,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140831,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140901,1.07,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140902,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140903,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140904,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140905,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140906,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140907,0.29,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140908,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140909,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140910,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140911,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140912,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140913,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140918,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140919,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140920,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140921,0.53,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140922,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140923,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140924,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140925,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140926,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140927,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140928,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140929,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140930,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141001,0.20,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141002,1.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141003,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141004,0.03,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141005,0.21,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141006,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141007,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141008,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141009,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141010,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141011,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141012,0.20,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141013,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141014,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141015,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141017,1.12,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141018,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141019,0.01,-9999,-9999,-9999,-9999,-9999
